sim_id,pressure,control,chaos,final_entropy,mean_entropy,max_entropy,mean_instability,max_instability
44,0.6666666269302368,1.0,0.0,-0.0,0.11978258192539215,3.4649291038513184,0.017215486615896225,0.4232419729232788
45,0.6666666269302368,1.0,0.1666666716337204,1.1306942701339722,1.2084029912948608,3.4648561477661133,0.011789663694798946,0.3861417770385742
46,0.6666666269302368,1.0,0.3333333134651184,1.7944214344024658,1.8566105365753174,3.4646527767181396,0.009689785540103912,0.31085729598999023
47,0.6666666269302368,1.0,0.5,2.1965739727020264,2.245816469192505,3.464789390563965,0.008777325972914696,0.22964859008789062
48,1.0,0.0,0.0,-0.0,0.10060247033834457,3.465458869934082,0.01392317470163107,0.39901861548423767
49,1.0,0.0,0.1666666716337204,1.0196175575256348,1.08942449092865,3.4648048877716064,0.012728885747492313,0.3095576763153076
50,1.0,0.0,0.3333333134651184,1.6853324174880981,1.7260054349899292,3.4645133018493652,0.01096616592258215,0.2489943504333496
51,1.0,0.0,0.5,2.0710372924804688,2.106051206588745,3.4645509719848633,0.010241535492241383,0.17551636695861816
52,1.0,0.3333333432674408,0.0,-0.0,0.09692127257585526,3.464756965637207,0.014298290014266968,0.4458097815513611
53,1.0,0.3333333432674408,0.1666666716337204,1.0096355676651,1.0749378204345703,3.4647722244262695,0.012727538123726845,0.3782358169555664
54,1.0,0.3333333432674408,0.3333333134651184,1.6676793098449707,1.7093454599380493,3.464440107345581,0.010960985906422138,0.3097712993621826
55,1.0,0.3333333432674408,0.5,2.071988821029663,2.090646982192993,3.4644815921783447,0.010646422393620014,0.241502046585083
56,1.0,0.6666666269302368,0.0,-0.0,0.09194067120552063,3.4648633003234863,0.014459754340350628,0.486767053604126
57,1.0,0.6666666269302368,0.1666666716337204,0.9951837658882141,1.0617529153823853,3.4650423526763916,0.012733537703752518,0.45372986793518066
58,1.0,0.6666666269302368,0.3333333134651184,1.6416839361190796,1.6966177225112915,3.464590549468994,0.010971885174512863,0.36792564392089844
59,1.0,0.6666666269302368,0.5,2.0464377403259277,2.073835611343384,3.464935064315796,0.010173739865422249,0.2908957004547119
60,1.0,1.0,0.0,-0.0,0.08992122113704681,3.4648656845092773,0.014671295881271362,0.5345892906188965
61,1.0,1.0,0.1666666716337204,0.9920860528945923,1.0530116558074951,3.4644899368286133,0.012662212364375591,0.5294513702392578
62,1.0,1.0,0.3333333134651184,1.6328998804092407,1.6884698867797852,3.4643588066101074,0.011210735887289047,0.43119335174560547
63,1.0,1.0,0.5,2.0356674194335938,2.0655863285064697,3.4644017219543457,0.010009762831032276,0.3454461097717285
